rank,avg rating,geek rating,names,num votes,year
1,8.32,8.2,Twilight Struggle,21003,2005
2,8.72,8.153,Pandemic Legacy,3646,2015
3,8.27,8.134,Terra Mystica,15846,2012
4,8.25,8.055,Caverna,10507,2013
5,8.2,8.049,Through the Ages,13715,2006
6,8.13,8.037,Puerto Rico,41009,2002
7,8.1,8.022,Agricola,40962,2007
8,8.09,7.963,The Castles of Burgundy,16873,2011
9,8.15,7.963,Mage Knight Board Game,13512,2011
10,8.13,7.948,Android: Netrunner,16115,2012
11,8.36,7.935,Star Wars: Imperial Assault,5241,2014
12,8.07,7.924,Eclipse,16440,2011
13,7.98,7.911,Power Grid,35605,2004
14,8.35,7.907,War of the Ring ,4211,2012
15,8.07,7.872,Robinson Crusoe,11611,2012
16,7.98,7.868,Le Havre,16283,2008
17,8.03,7.858,Brass,9100,2007
18,7.97,7.824,Tzolk'in,13059,2012
19,8.02,7.817,Dead of Winter,11506,2014
20,7.86,7.784,7 Wonders,38823,2010
